Age,Gender,District,Region,Location Type,Customer Type,Employment Status,Income Level,Education Level,Tenure,Balance,Credit Score,Outstanding Loans,Num Of Products,Mobile Banking Usage,Number of Transactions per Month,Num Of Complaints,Proximity to Nearest Branch or ATM (km),Mobile Network Quality,Owns Mobile Phone
69,Male,Mangochi,Southern,Rural,Retail,Employed,1691348,Tertiary,3,658703,392,65881,3,No,2,8,36.4,Poor,Yes
23,Female,Mchinji,Central,Rural,Retail,Not Employed,23466,Primary,6,2236767,593,29636,1,No,1,6,18.9,Poor,Yes
22,Male,Mangochi,Southern,Rural,Retail,Not Employed,58167,Tertiary,21,835581,389,1670394,2,No,0,1,36.9,Fair,Yes
24,Male,Zomba,Southern,Rural,Retail,Not Employed,88542,Secondary,14,106111,408,1111298,7,No,0,5,37.2,Good,No
80,Female,Ntchisi,Central,Rural,Retail,Not Employed,94622,Primary,29,514122,516,35535,6,No,0,6,18.1,Poor,No
19,Male,Machinga,Southern,Rural,SME,Not Employed,26503,Tertiary,20,981623,580,1601833,6,No,1,6,47.2,Poor,No
17,Male,Rumphi,Northern,Rural,Retail,Not Employed,16876,Secondary,5,423961,524,1080293,2,No,2,9,11.8,Poor,No
28,Male,Lilongwe,Central,Rural,Retail,Self Employed,1480821,Tertiary,17,3220666,358,33262,6,No,2,7,22.1,Fair,No
21,Male,Dowa,Central,Rural,Retail,Self Employed,134945,Primary,2,43078,576,510716,2,No,0,10,35.3,Good,Yes
26,Male,Salima,Central,Rural,Retail,Employed,86556,Primary,8,911631,518,2164485,7,No,1,3,45.6,Poor,Yes
29,Male,Ntchisi,Central,Rural,Retail,Not Employed,98131,Primary,2,557041,332,1757310,4,No,1,1,46.2,Poor,Yes
28,Female,Balaka,Southern,Rural,Retail,Employed,182837,Secondary,30,142138,600,1094848,3,No,1,6,48.2,Poor,Yes
26,Female,Nsanje,Southern,Rural,Retail,Employed,320773,Secondary,4,2668811,415,53045,1,No,0,6,48.5,Poor,Yes
21,Male,Ntcheu,Central,Rural,Retail,Employed,66345,Primary,29,452066,567,531835,2,No,0,1,29.3,Poor,Yes
24,Female,Rumphi,Northern,Rural,Retail,Employed,65085,Primary,21,709991,305,1980026,3,No,2,3,21.5,Poor,No
29,Female,Chikwawa,Southern,Rural,SME,Employed,205955,Primary,3,180670,419,89890,1,No,0,9,15.8,Poor,Yes
20,Female,Nsanje,Southern,Rural,Retail,Employed,2449984,Tertiary,27,855299,762,5699,7,No,1,8,36.9,Poor,No
25,Female,Mulanje,Southern,Rural,SME,Employed,11516,Primary,7,374390,319,1767388,3,No,0,7,35.6,Poor,No
26,Female,Nkhotakota,Central,Rural,Retail,Employed,274871,Secondary,16,492747,406,742226,3,No,0,10,35.4,Fair,No
16,Male,Mulanje,Southern,Rural,SME,Employed,55396,Primary,4,22707,438,1454602,7,No,0,7,31.8,Poor,No
49,Male,Ntchisi,Central,Rural,Retail,Self Employed,2025751,Tertiary,12,913836,522,49121,2,No,2,9,28.4,Poor,No
22,Male,Mangochi,Southern,Rural,Retail,Employed,164430,Primary,30,792044,512,119903,7,No,1,9,43.8,Fair,No
24,Female,Thyolo,Southern,Rural,Retail,Employed,28921,Primary,24,109522,383,1510514,1,No,0,2,37.8,Fair,Yes
55,Female,Mwanza,Southern,Rural,SME,Not Employed,40953,Primary,26,290194,497,18158,2,No,0,7,34.2,Fair,No
18,Female,Nkhata Bay,Northern,Rural,Retail,Employed,228157,Primary,27,274644,397,1815056,6,No,0,7,23.8,Poor,Yes
25,Female,Thyolo,Southern,Rural,SME,Employed,29111,Primary,5,132313,587,1950843,3,No,1,7,24.6,Fair,Yes
26,Female,Chikwawa,Southern,Rural,Retail,Self Employed,125647,Primary,7,806803,559,35110,5,No,3,6,47.4,Fair,No
23,Female,Rumphi,Northern,Rural,Retail,Employed,790017,Secondary,14,3694225,529,7697,7,No,0,10,45.3,Poor,No
16,Male,Ntchisi,Central,Rural,Retail,Self Employed,504133,Secondary,10,622705,504,1797872,5,No,0,9,36.7,Poor,Yes
21,Male,Chikwawa,Southern,Rural,Retail,Not Employed,72711,Primary,1,764699,401,148473,4,No,1,5,37.0,Poor,No
16,Male,Lilongwe,Central,Rural,Retail,Employed,1265368,Tertiary,6,339567,558,2035918,6,No,1,6,28.6,Poor,Yes
26,Male,Ntcheu,Central,Rural,Corporate,Not Employed,68190,Primary,25,619921,512,83967,4,No,1,7,45.6,Good,No
19,Male,Dowa,Central,Rural,SME,Not Employed,80282,Secondary,14,801441,649,24765,3,No,1,6,40.4,Poor,Yes
23,Male,Machinga,Southern,Rural,Retail,Not Employed,11056,Secondary,11,499242,364,1331927,3,No,1,4,49.8,Poor,No
18,Female,Kasungu,Central,Rural,Retail,Self Employed,99851,Primary,22,583387,342,1231665,4,No,2,6,18.5,Poor,No
24,Male,Ntchisi,Central,Rural,SME,Not Employed,82605,Primary,2,966976,334,1989545,4,No,0,6,44.2,Poor,Yes
23,Female,Mulanje,Southern,Rural,Retail,Self Employed,935679,Secondary,1,90607,433,1176166,4,No,0,7,20.3,Poor,Yes
18,Female,Karonga,Northern,Rural,Retail,Employed,750404,Secondary,20,918435,364,1117109,2,No,1,6,32.6,Good,Yes
27,Female,Neno,Southern,Rural,Retail,Employed,94412,Primary,29,145800,443,17121,7,No,3,8,16.6,Poor,No
19,Male,Chitipa,Northern,Rural,Retail,Employed,2277773,Tertiary,30,375611,359,474979,5,No,2,8,43.4,Poor,No
28,Female,Likoma,Northern,Rural,Retail,Employed,149598,Primary,1,3208873,388,17893,3,No,2,6,42.9,Fair,Yes
25,Male,Dowa,Central,Rural,SME,Not Employed,90152,Primary,2,924563,338,121971,6,No,0,8,26.4,Good,Yes
24,Male,Thyolo,Southern,Rural,Retail,Self Employed,42735,Primary,18,232434,390,892150,7,No,1,1,24.2,Poor,Yes
56,Female,Nsanje,Southern,Rural,Retail,Employed,398673,Secondary,22,6575,357,886,7,No,1,6,45.5,Poor,No
22,Female,Nkhata Bay,Northern,Rural,Retail,Employed,150494,Primary,11,155025,573,755018,4,No,1,10,43.4,Poor,Yes
16,Female,Neno,Southern,Rural,Retail,Employed,282009,Primary,5,443105,555,1233524,7,No,2,7,35.7,Fair,Yes
37,Female,Salima,Central,Rural,Retail,Employed,460658,Secondary,25,514082,506,69474,7,No,0,10,34.7,Fair,Yes
17,Male,Balaka,Southern,Rural,SME,Not Employed,96149,Secondary,17,370401,499,724989,7,No,0,9,47.1,Poor,No
65,Female,Nkhotakota,Central,Rural,Retail,Self Employed,1201112,Tertiary,28,885458,584,57434,6,No,1,6,20.7,Poor,Yes
29,Male,Machinga,Southern,Rural,Retail,Employed,114380,Primary,25,499871,343,461367,3,No,0,6,32.1,Good,No
28,Male,Dedza,Central,Rural,Retail,Employed,107167,Primary,26,815367,300,782537,3,No,2,9,34.1,Poor,No
25,Female,Kasungu,Central,Rural,Retail,Employed,111845,Primary,13,918665,542,49628,5,No,4,7,49.3,Fair,No
21,Male,Mwanza,Southern,Rural,Retail,Self Employed,942757,Secondary,21,340430,439,1646125,6,No,2,9,21.0,Poor,No
19,Male,Ntchisi,Central,Rural,Retail,Employed,661715,Secondary,18,81162,533,770008,2,No,1,10,26.9,Poor,Yes
88,Male,Nsanje,Southern,Rural,Retail,Not Employed,69304,Secondary,14,132723,367,17650,5,No,1,1,36.5,Fair,Yes
18,Female,Mwanza,Southern,Rural,SME,Not Employed,76866,Primary,13,303101,442,552656,4,No,2,7,22.0,Poor,No
89,Female,Nkhata Bay,Northern,Rural,Retail,Self Employed,160922,Primary,25,718277,369,48421,1,No,0,8,29.8,Poor,Yes
16,Male,Ntcheu,Central,Rural,Retail,Employed,710298,Secondary,12,488141,585,765410,7,No,1,9,46.8,Poor,Yes
24,Male,Mchinji,Central,Rural,SME,Not Employed,74082,Tertiary,17,222217,502,1307470,4,No,0,10,35.4,Poor,Yes
18,Female,Karonga,Northern,Rural,Retail,Self Employed,59167,Primary,4,897597,366,1557476,6,No,0,2,31.4,Poor,No
24,Female,Dedza,Central,Rural,Retail,Not Employed,11467,Primary,30,432650,376,739104,5,No,1,4,38.3,Fair,Yes
22,Female,Dowa,Central,Rural,Retail,Employed,1231911,Tertiary,27,617885,543,53248,3,No,5,6,32.4,Poor,Yes
23,Female,Salima,Central,Rural,SME,Not Employed,39509,Primary,5,453005,449,943963,2,No,1,10,22.9,Poor,Yes
17,Female,Kasungu,Central,Rural,Retail,Self Employed,370309,Secondary,18,731485,661,12643,2,No,0,6,33.2,Poor,Yes
76,Female,Chiradzulu,Southern,Rural,Retail,Not Employed,35358,Secondary,22,524509,472,14778,4,No,1,9,18.5,Poor,Yes
22,Male,Kasungu,Central,Rural,Retail,Not Employed,50876,Primary,19,237108,538,2174011,2,No,1,10,17.3,Poor,No
29,Female,Mzimba,Northern,Rural,Retail,Not Employed,66134,Tertiary,23,705525,449,1218507,4,Yes,0,10,32.7,Poor,Yes
21,Male,Mwanza,Southern,Rural,Retail,Not Employed,39295,Primary,26,2165434,380,1624263,1,No,1,7,35.1,Good,Yes
19,Male,Blantyre,Southern,Rural,Retail,Employed,91580,Primary,11,2839532,472,12547,7,Yes,2,8,41.2,Poor,Yes
69,Male,Mwanza,Southern,Rural,Retail,Not Employed,87197,Secondary,21,894487,315,227997,2,No,1,7,32.2,Fair,No
25,Female,Mchinji,Central,Rural,Retail,Not Employed,72228,Primary,14,1544070,399,1188156,4,No,0,9,42.8,Fair,No
68,Male,Zomba,Southern,Rural,Retail,Not Employed,71208,Secondary,9,271047,512,22073,6,Yes,2,9,43.7,Good,Yes
23,Female,Ntcheu,Central,Rural,Retail,Not Employed,82455,Primary,5,2137635,449,393318,3,No,2,7,36.5,Fair,Yes
28,Male,Rumphi,Northern,Rural,Retail,Not Employed,62828,Secondary,27,3234715,435,2164004,6,No,2,10,27.2,Good,Yes
34,Female,Phalombe,Southern,Rural,Retail,Employed,10724,Primary,19,239109,451,1606437,5,No,0,7,44.3,Poor,No
23,Male,Neno,Southern,Rural,Retail,Not Employed,20941,Primary,13,3525858,424,1090846,1,No,2,8,43.5,Fair,No
47,Female,Machinga,Southern,Rural,Retail,Employed,78748,Primary,7,658472,665,91909,6,No,2,8,45.8,Good,Yes
28,Female,Mwanza,Southern,Rural,Retail,Employed,231050,Primary,11,925978,588,1743220,2,No,0,3,47.4,Poor,Yes
55,Female,Mulanje,Southern,Rural,Retail,Self Employed,93480,Primary,24,807117,565,30396,4,No,1,3,12.3,Poor,No
24,Female,Mwanza,Southern,Rural,SME,Self Employed,265910,Primary,27,747150,364,1185470,6,No,0,10,45.6,Poor,Yes
19,Female,Nsanje,Southern,Rural,Retail,Not Employed,74431,Tertiary,20,180968,422,1005155,3,No,3,10,35.5,Fair,No
44,Male,Ntcheu,Central,Rural,Retail,Not Employed,46698,Secondary,2,279221,319,581758,4,No,1,8,22.4,Fair,No
77,Female,Ntchisi,Central,Rural,Retail,Not Employed,63834,Primary,18,888448,592,993319,4,No,0,7,34.7,Poor,Yes
55,Female,Likoma,Northern,Rural,Retail,Not Employed,96238,Tertiary,11,179885,478,1614103,6,No,0,6,48.5,Fair,Yes
28,Female,Ntchisi,Central,Rural,Retail,Employed,25743,Primary,27,194194,521,1308739,3,No,4,7,31.9,Poor,Yes
23,Male,Salima,Central,Rural,Retail,Employed,45287,Primary,21,1910042,560,618045,3,No,2,7,20.9,Poor,No
19,Male,Lilongwe,Central,Rural,SME,Not Employed,39595,Primary,10,927614,568,2042870,6,No,0,1,29.3,Fair,No
38,Female,Machinga,Southern,Rural,Retail,Self Employed,26202,Primary,19,2177855,484,95343,3,No,1,7,25.2,Poor,Yes
17,Male,Mangochi,Southern,Rural,SME,Employed,1361417,Tertiary,29,611466,324,1792463,6,No,1,8,42.2,Poor,Yes
18,Female,Machinga,Southern,Rural,SME,Not Employed,38755,Secondary,4,723208,542,1786270,2,No,2,2,33.7,Poor,No
71,Male,Ntcheu,Central,Rural,Retail,Not Employed,47325,Tertiary,8,50244,372,2045354,5,No,2,10,20.9,Poor,Yes
23,Male,Mulanje,Southern,Rural,Retail,Employed,99514,Primary,30,2705156,408,12749,4,Yes,1,6,38.0,Poor,Yes
16,Female,Rumphi,Northern,Rural,Retail,Self Employed,439526,Secondary,15,3609216,563,59820,2,No,0,4,39.6,Fair,Yes
25,Female,Salima,Central,Rural,Retail,Self Employed,11100,Primary,19,917658,581,1070970,3,No,0,1,17.0,Fair,No
21,Female,Nkhotakota,Central,Rural,SME,Employed,135258,Primary,28,200034,668,68425,1,No,1,7,49.2,Fair,Yes
47,Male,Neno,Southern,Rural,Retail,Employed,33482,Primary,24,933315,367,2106029,6,No,0,10,48.3,Fair,Yes
19,Male,Balaka,Southern,Rural,SME,Employed,718944,Secondary,19,745527,316,63233,4,No,3,7,33.1,Poor,No
90,Male,Mulanje,Southern,Rural,Retail,Not Employed,76094,Primary,7,2038632,466,29388,5,No,0,6,42.4,Fair,Yes
22,Male,Nkhata Bay,Northern,Rural,Retail,Self Employed,19547,Primary,17,597775,465,1838508,1,No,5,6,27.3,Poor,No
23,Male,Nkhata Bay,Northern,Rural,SME,Not Employed,21657,Primary,30,94532,457,1826260,1,No,1,2,25.3,Poor,Yes
29,Male,Chitipa,Northern,Rural,SME,Self Employed,202680,Primary,28,921362,301,335505,7,No,0,7,48.3,Fair,Yes
81,Female,Chiradzulu,Southern,Rural,Retail,Not Employed,20210,Primary,25,674919,309,143828,5,No,1,10,25.4,Poor,Yes
68,Female,Blantyre,Southern,Rural,Retail,Not Employed,71116,Secondary,27,205591,507,1618126,2,No,0,7,26.3,Poor,Yes
67,Female,Nkhata Bay,Northern,Rural,Retail,Self Employed,38173,Primary,12,1415447,469,48234,7,No,0,6,24.3,Poor,Yes
21,Male,Lilongwe,Central,Rural,Retail,Not Employed,19567,Tertiary,20,371900,637,2068845,1,No,2,10,46.0,Poor,Yes
21,Female,Mwanza,Southern,Rural,Retail,Not Employed,64559,Secondary,4,569036,381,594676,3,No,4,7,32.0,Poor,Yes
19,Female,Lilongwe,Central,Rural,SME,Employed,618644,Secondary,3,48736,420,1320190,4,No,1,8,22.6,Fair,Yes
32,Female,Dedza,Central,Rural,Retail,Employed,13264,Primary,16,192978,385,862330,1,No,1,9,49.5,Fair,No
73,Male,Chitipa,Northern,Rural,SME,Employed,281424,Primary,21,179249,480,48273,5,No,1,9,25.4,Fair,Yes
25,Male,Dowa,Central,Rural,Retail,Employed,498089,Secondary,3,546819,305,713931,5,No,0,9,10.1,Fair,Yes
17,Male,Mangochi,Southern,Rural,Retail,Employed,1195648,Tertiary,3,1752887,428,71134,6,No,1,9,13.7,Fair,Yes
64,Female,Lilongwe,Central,Rural,Retail,Self Employed,22295,Primary,5,399788,482,1595086,2,No,0,6,30.5,Poor,Yes
36,Male,Chitipa,Northern,Rural,Retail,Self Employed,263942,Secondary,16,824172,517,68775,2,No,0,4,30.2,Poor,Yes
87,Female,Nkhata Bay,Northern,Rural,Retail,Employed,42331,Primary,18,734506,522,314611,3,No,1,8,43.9,Good,No
26,Male,Zomba,Southern,Rural,Retail,Employed,29508,Primary,2,1315922,547,518786,4,No,2,9,44.0,Fair,Yes
23,Male,Ntchisi,Central,Rural,Retail,Employed,819732,Secondary,13,2362114,532,60601,7,No,0,1,29.7,Poor,No
19,Female,Dowa,Central,Rural,SME,Not Employed,62140,Tertiary,29,518564,317,971948,5,No,1,3,37.0,Poor,Yes
27,Male,Mulanje,Southern,Rural,Retail,Not Employed,70292,Primary,7,425033,750,3387,2,No,1,4,12.7,Fair,No
21,Male,Thyolo,Southern,Rural,Retail,Self Employed,359471,Secondary,26,982261,382,787457,1,No,2,4,29.5,Poor,No
19,Male,Dedza,Central,Rural,SME,Employed,212295,Primary,1,732389,354,250954,5,No,0,7,26.6,Fair,Yes
20,Female,Lilongwe,Central,Rural,Retail,Employed,141343,Primary,21,800479,446,1237929,2,No,0,3,33.0,Fair,Yes
58,Female,Mwanza,Southern,Rural,Retail,Not Employed,86803,Secondary,21,372048,358,2169736,7,No,1,7,39.3,Fair,No
22,Male,Ntchisi,Central,Rural,Retail,Employed,817484,Secondary,30,1265916,414,84903,4,No,2,5,39.5,Poor,No
24,Male,Phalombe,Southern,Rural,SME,Self Employed,386426,Secondary,23,953399,586,771113,6,No,0,6,37.2,Fair,Yes
20,Male,Nkhotakota,Central,Rural,SME,Employed,49726,Primary,26,535602,336,1990057,3,No,0,2,46.1,Good,Yes
91,Male,Rumphi,Northern,Rural,Retail,Not Employed,93656,Secondary,25,1456010,391,59945,5,No,2,9,44.5,Poor,No
27,Male,Kasungu,Central,Rural,Retail,Employed,1016291,Tertiary,7,599729,555,93683,2,Yes,1,4,45.9,Poor,Yes
29,Female,Likoma,Northern,Rural,Retail,Not Employed,70736,Secondary,18,3664598,477,81623,5,No,5,8,49.3,Poor,No
22,Male,Neno,Southern,Rural,Retail,Self Employed,2141539,Tertiary,9,903943,390,115333,4,No,0,3,34.5,Poor,Yes
22,Male,Nkhotakota,Central,Rural,Retail,Employed,974869,Secondary,1,811490,440,92189,2,Yes,2,3,37.4,Poor,Yes
26,Male,Nkhata Bay,Northern,Rural,SME,Employed,1204527,Tertiary,12,266774,569,2056327,3,No,1,7,20.4,Fair,No
20,Male,Likoma,Northern,Rural,Retail,Not Employed,52664,Primary,12,3415421,486,1398034,7,No,1,7,28.6,Poor,No
36,Female,Chitipa,Northern,Rural,Retail,Employed,10432,Primary,24,380765,477,1713019,1,No,2,7,38.3,Fair,Yes
25,Male,Mwanza,Southern,Rural,Retail,Self Employed,691162,Tertiary,30,632496,493,373975,3,No,1,2,22.5,Poor,Yes
22,Female,Dowa,Central,Rural,SME,Employed,248916,Primary,8,580201,586,1477315,7,No,0,10,24.2,Poor,Yes
